posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
61,nada + e5_tfidf_kg + medidas_graphrag_idf_taxonomia,nada,e5_tfidf_kg,medidas_graphrag_idf_taxonomia,1375,0.61,0.4756,0.7127,0.7804,0.8589,0.4756,0.67
62,nada + e5_tfidf_kg + medidas_taxonomia,nada,e5_tfidf_kg,medidas_taxonomia,1375,0.6123,0.4807,0.712,0.7898,0.8676,0.4807,0.56
63,basico + e5_tfidf + medidas_taxonomia,basico,e5_tfidf,medidas_taxonomia,1375,0.635,0.5127,0.712,0.7891,0.8764,0.5127,1.3
64,basico + e5_tfidf_kg + medidas_graphrag_idf_taxonomia,basico,e5_tfidf_kg,medidas_graphrag_idf_taxonomia,1375,0.6214,0.4895,0.7113,0.7942,0.8771,0.4895,0.65
65,basico + e5_tfidf + medidas_graphrag_taxonomia,basico,e5_tfidf,medidas_graphrag_taxonomia,1375,0.617,0.48,0.7098,0.8015,0.8829,0.48,1.37
66,basico + e5_taxonomia + nada,basico,e5_taxonomia,nada,1375,0.6392,0.5353,0.7084,0.7753,0.832,0.5353,0.13
67,basico + e5_tfidf + taxonomia,basico,e5_tfidf,taxonomia,1375,0.6326,0.5127,0.7069,0.7804,0.8778,0.5127,1.24
68,basico + e5_taxonomia + graphrag_idf,basico,e5_taxonomia,graphrag_idf,1375,0.6322,0.5244,0.7069,0.7789,0.8407,0.5244,0.22
69,basico + e5_tfidf_kg + taxonomia,basico,e5_tfidf_kg,taxonomia,1375,0.618,0.4865,0.704,0.7905,0.8793,0.4865,0.49
70,nada + e5_taxonomia + taxonomia_rotulo,nada,e5_taxonomia,taxonomia_rotulo,1375,0.6368,0.5295,0.7025,0.7702,0.8342,0.5295,0.15
71,basico + e5_tfidf + taxonomia_rotulo,basico,e5_tfidf,taxonomia_rotulo,1375,0.624,0.5004,0.6996,0.7833,0.8727,0.5004,1.32
72,basico + e5_taxonomia + medidas_graphrag_taxonomia,basico,e5_taxonomia,medidas_graphrag_taxonomia,1375,0.6329,0.5309,0.6996,0.7745,0.8225,0.5309,0.26
73,nada + e5_tfidf + medidas_taxonomia,nada,e5_tfidf,medidas_taxonomia,1375,0.6185,0.4909,0.6989,0.7862,0.8713,0.4909,1.46
74,nada + e5_tfidf + medidas_graphrag_taxonomia,nada,e5_tfidf,medidas_graphrag_taxonomia,1375,0.6013,0.4582,0.6989,0.7942,0.8727,0.4582,1.54
75,basico + e5_tfidf_kg + medidas_graphrag_taxonomia,basico,e5_tfidf_kg,medidas_graphrag_taxonomia,1375,0.6079,0.4713,0.6982,0.7884,0.8764,0.4713,0.64
76,nada + e5_tfidf_taxonomia + medidas_graphrag_idf_taxonomia,nada,e5_tfidf_taxonomia,medidas_graphrag_idf_taxonomia,1375,0.6066,0.4669,0.6975,0.7862,0.8735,0.4669,0.8
77,basico + e5_tfidf + graphrag_idf,basico,e5_tfidf,graphrag_idf,1375,0.5958,0.4516,0.696,0.7876,0.8851,0.4516,1.36
78,nada + e5_tfidf_kg + medidas_graphrag_taxonomia,nada,e5_tfidf_kg,medidas_graphrag_taxonomia,1375,0.5911,0.4495,0.6953,0.7724,0.8531,0.4495,0.66
