posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
82,nada + e5_kg + medidas_graphrag_idf,nada,e5_kg,medidas_graphrag_idf,1375,0.6137,0.4938,0.6931,0.7687,0.8495,0.4938,0.76
83,basico + e5_kg + medidas_graphrag_idf,basico,e5_kg,medidas_graphrag_idf,1375,0.6173,0.5011,0.6931,0.7753,0.8487,0.5011,1.43
84,nada + e5_tfidf_taxonomia + medidas_graphrag_taxonomia,nada,e5_tfidf_taxonomia,medidas_graphrag_taxonomia,1375,0.6069,0.4713,0.6909,0.7833,0.8684,0.4713,0.69
85,basico + e5_tfidf_taxonomia + graphrag_idf,basico,e5_tfidf_taxonomia,graphrag_idf,1375,0.59,0.4393,0.6909,0.7855,0.8851,0.4393,1.65
86,basico + e5_kg + medidas_graphrag,basico,e5_kg,medidas_graphrag,1375,0.613,0.4938,0.6902,0.7745,0.8502,0.4938,1.43
87,nada + e5_tfidf + taxonomia_rotulo,nada,e5_tfidf,taxonomia_rotulo,1375,0.6154,0.4931,0.6895,0.7709,0.8633,0.4931,1.3
88,nada + e5_kg + medidas,nada,e5_kg,medidas,1375,0.6087,0.4858,0.6887,0.776,0.8538,0.4858,0.64
89,nada + e5_tfidf_kg + taxonomia,nada,e5_tfidf_kg,taxonomia,1375,0.5979,0.4655,0.6887,0.7724,0.8611,0.4655,0.6
90,nada + e5_kg + medidas_graphrag,nada,e5_kg,medidas_graphrag,1375,0.6084,0.4844,0.6873,0.7724,0.8509,0.4844,0.73
91,basico + e5_kg + medidas,basico,e5_kg,medidas,1375,0.6164,0.4975,0.6851,0.7818,0.8524,0.4975,1.35
92,basico + e5_kg + medidas_graphrag_idf_taxonomia,basico,e5_kg,medidas_graphrag_idf_taxonomia,1375,0.6009,0.4764,0.6844,0.7644,0.8495,0.4764,1.41
93,nada + e5_tfidf + taxonomia,nada,e5_tfidf,taxonomia,1375,0.612,0.4873,0.6836,0.7724,0.8698,0.4873,1.24
94,nada + e5_kg + medidas_graphrag_idf_taxonomia,nada,e5_kg,medidas_graphrag_idf_taxonomia,1375,0.6024,0.4778,0.6822,0.7673,0.8538,0.4778,0.74
95,basico + e5_taxonomia + taxonomia_rotulo,basico,e5_taxonomia,taxonomia_rotulo,1375,0.6197,0.5178,0.6822,0.7498,0.8182,0.5178,1.06
96,basico + e5_tfidf_taxonomia + medidas_taxonomia,basico,e5_tfidf_taxonomia,medidas_taxonomia,1375,0.5823,0.4342,0.68,0.7687,0.8705,0.4342,1.61
97,nada + e5_kg + medidas_graphrag_taxonomia,nada,e5_kg,medidas_graphrag_taxonomia,1375,0.5915,0.4611,0.6771,0.7644,0.8487,0.4611,0.75
98,basico + e5_tfidf_taxonomia + taxonomia_rotulo,basico,e5_tfidf_taxonomia,taxonomia_rotulo,1375,0.5635,0.4058,0.6771,0.7622,0.8625,0.4058,1.59
99,nada + e5_kg + nada,nada,e5_kg,nada,1375,0.5983,0.4742,0.6756,0.7571,0.8385,0.4742,0.56
100,basico + e5_kg + nada,basico,e5_kg,nada,1375,0.6028,0.4822,0.6742,0.7636,0.8349,0.4822,1.28
101,nada + e5_tfidf_taxonomia + taxonomia_rotulo,nada,e5_tfidf_taxonomia,taxonomia_rotulo,1375,0.5698,0.4182,0.6727,0.7709,0.8618,0.4182,0.59
102,basico + e5_kg + medidas_graphrag_taxonomia,basico,e5_kg,medidas_graphrag_taxonomia,1375,0.5904,0.4611,0.6727,0.7615,0.8415,0.4611,1.4
103,basico + e5_taxonomia + medidas_taxonomia,basico,e5_taxonomia,medidas_taxonomia,1375,0.6079,0.5011,0.6727,0.752,0.8087,0.5011,1.07
104,nada + e5_kg + medidas_taxonomia,nada,e5_kg,medidas_taxonomia,1375,0.5856,0.4516,0.6713,0.7629,0.8516,0.4516,0.63
105,basico + e5_kg + medidas_taxonomia,basico,e5_kg,medidas_taxonomia,1375,0.5887,0.4589,0.6705,0.76,0.8385,0.4589,1.33
106,nada + e5_tfidf_taxonomia + medidas_taxonomia,nada,e5_tfidf_taxonomia,medidas_taxonomia,1375,0.5835,0.4415,0.6676,0.7636,0.8618,0.4415,0.6
107,nada + e5_tfidf + graphrag_idf,nada,e5_tfidf,graphrag_idf,1375,0.5774,0.4342,0.6662,0.7615,0.8538,0.4342,1.35
108,nada + e5_taxonomia + taxonomia,nada,e5_taxonomia,taxonomia,1375,0.6074,0.5055,0.6662,0.7265,0.792,0.5055,0.11
109,nada + e5_tfidf_taxonomia + graphrag_idf,nada,e5_tfidf_taxonomia,graphrag_idf,1375,0.5727,0.4211,0.6647,0.7644,0.864,0.4211,0.64
110,basico + e5_tfidf_taxonomia + taxonomia,basico,e5_tfidf_taxonomia,taxonomia,1375,0.5485,0.3876,0.6604,0.7411,0.8611,0.3876,1.55
111,basico + e5_taxonomia + taxonomia,basico,e5_taxonomia,taxonomia,1375,0.5933,0.4924,0.6509,0.7178,0.7745,0.4924,1.02
112,nada + e5_kg + taxonomia_rotulo,nada,e5_kg,taxonomia_rotulo,1375,0.5515,0.4095,0.6385,0.7287,0.8327,0.4095,0.62
113,nada + e5_tfidf_taxonomia + taxonomia,nada,e5_tfidf_taxonomia,taxonomia,1375,0.549,0.3985,0.6378,0.7375,0.8516,0.3985,0.54
114,basico + e5_kg + taxonomia_rotulo,basico,e5_kg,taxonomia_rotulo,1375,0.5539,0.4211,0.6356,0.7302,0.8196,0.4211,1.32
115,basico + e5_tfidf_kg + graphrag_idf,basico,e5_tfidf_kg,graphrag_idf,1375,0.557,0.4175,0.6335,0.7302,0.8364,0.4175,1.46
116,nada + e5_kg + taxonomia,nada,e5_kg,taxonomia,1375,0.5506,0.416,0.6269,0.7244,0.8393,0.416,0.56
117,basico + e5_kg + taxonomia,basico,e5_kg,taxonomia,1375,0.5547,0.4255,0.6262,0.72,0.824,0.4255,1.28
118,nada + e5_tfidf_kg + graphrag_idf,nada,e5_tfidf_kg,graphrag_idf,1375,0.5416,0.4029,0.6218,0.704,0.8102,0.4029,0.73
119,nada + e5_kg + graphrag_idf,nada,e5_kg,graphrag_idf,1375,0.5294,0.3942,0.6051,0.6858,0.7935,0.3942,0.68
120,basico + e5_kg + graphrag_idf,basico,e5_kg,graphrag_idf,1375,0.5264,0.3913,0.5942,0.6938,0.7978,0.3913,1.38
